소속기관명,시설명,계측가능여부,임차여부,연료명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
차량등록사업소,금련산민원센터,Y,Y,전력,2.918,2.338,2.957,2.978,1.341,1.435,2.049,2.382,1.727,1.46,1.21,1.577
차량등록사업소,부전현장민원센터,Y,Y,전력,2.013,0.017,1.391,1.485,0.751,1.052,1.148,1.624,1.09,0.827,0.655,1.375
차량등록사업소,구명현장민원센터,Y,Y,전력,1.104,1.268,0.83,0.867,0.768,0.89,1.606,1.172,0.978,0.632,0.715,1.159
차량등록사업소,휘발유 차량,Y,N,휘발유,0.077,0.088,0,0.088,0.084,0.09,0.092,0,0.079,0.088,0.088,0.075
차량등록사업소,경유 차량,Y,N,가스/디젤 오일(경유),0.305,0.332,0.173,0.326,0.308,0.162,0.422,0.048,0.027,0.295,0.17,0.234
국제수산물유통시설관리사업소,국제수산물도매시장관리사업소 청사,Y,N,가스/디젤 오일(경유),4.088,4.015,3.084,0,0,0,0,0,0,0,0,0
국제수산물유통시설관리사업소,국제수산물도매시장관리사업소 청사,Y,N,전력,11.2,9.522,7.804,6.353,8.345,7.843,12.854,13.335,11.035,9.78,9.268,11.094
국제수산물유통시설관리사업소,국제수산물도매시장관리사업소 휘발유차량,Y,N,휘발유,0.095,0,0.097,0,0.101,0,0.066,0.07,0.068,0.095,0.086,0.059
국제수산물유통시설관리사업소,국제수산물도매시장관리사업소 경유차량,Y,N,가스/디젤 오일(경유),0.173,0.157,0.173,0,0,0.162,0,0.127,0,0,0,0.151
낙동강관리본부,낙동강하구에코센터,Y,N,전력,15.283,12.78,13.688,10.7,10.375,12.485,20.454,21.266,11.415,11.403,12.212,15.921
낙동강관리본부,낙동강하구에코센터 경유차량,Y,N,가스/디젤 오일(경유),0.695,0.735,1.016,1.253,0.679,1.261,0.443,0.78,0.913,0.849,1.072,0.82
낙동강관리본부,낙동강하구에코센터 휘발유차량,Y,N,휘발유,0,0,0,0,0,0,0,0,0,0,0,0
낙동강관리본부,낙동강하구 에코센터 CNG 차량,Y,N,CNG(차량),0,0,0,0,0,0,0,0,0,0,0,0
낙동강관리본부,아미산전망대,Y,N,전력,4.057,3.8,2.423,2.028,1.819,1.947,2.21,3.09,2.218,2.041,2.217,3.13
서울본부,서울사무소,N,Y,도시가스(LNG),,,,,,,,,,,,
서울본부,서울사무소,N,Y,전력,,,,,,,,,,,,
아동보호종합센터,아동보호종합센터(꿈누리키즈카페 포함-육아종합지원센터),Y,N,전력,6.26,6.108,4.412,4.019,3.374,3.509,4.075,5.286,4.593,3.926,3.37,4.193
아동보호종합센터,아동보호종합센터 휘발유차량,Y,N,휘발유,0.064,0.125,0.088,0.081,0.079,0.073,0.152,0.09,0,0.079,0.055,0.07
아동보호종합센터,아동보호종합센터 경유차량,Y,N,가스/디젤 오일(경유),0.096,0.194,0.096,0.096,0.223,0.191,0.17,0,0,0.096,0.207,0.08
시립박물관,부산시립박물관,Y,N,도시가스(LNG),30.598,28.81,20.417,15.169,7.116,0.685,2.33,,21.622,9.512,2.975,2.621
시립박물관,부산시립박물관,Y,N,전력,46.772,57.682,41.737,38.751,35.433,48.648,58.257,73.256,65.202,53.277,33.598,33.65
시립박물관,부산시립박물관 휘발유 차량,Y,N,휘발유,0.064,0.07,0.059,0.075,0.141,0.132,0.143,0.191,0.117,0.097,0,0.266
시립박물관,부산시립박물관 경유 차량,Y,N,가스/디젤 오일(경유),0.077,0.09,0,0.135,0,0.151,0,0.08,0.133,0,0.119,0
시립박물관,근대역사관,Y,N,도시가스(LNG),5.821,5.088,4.275,0.195,0.136,3.102,0,0,0,0,0,0
시립박물관,근대역사관,Y,N,전력,7.071,7.064,8.509,4.328,3.495,3.48,0,0,0,0,0,0
시립박물관,근대역사관 휘발유차량,Y,N,휘발유,0.088,0.015,0,0,0,0,0,0,0,0,0,0
시립박물관,복천박물관,Y,N,도시가스(LNG),5.53,7.392,7.466,2.833,0.508,0.514,0,7.307,7.692,4.872,1.551,0.409
시립박물관,복천박물관,Y,N,전력,11.083,10.616,7.751,5.863,4.964,8.421,16.276,23.227,21.97,18.06,13.004,7.81
시립박물관,복천박물관 경유차량,Y,N,가스/디젤 오일(경유),0.149,0.154,0.154,0.138,0.114,0.125,0.151,0.21,0.191,0.101,0,0.117
시립박물관,임시수도기념관,Y,N,전력,4.334,4.392,2.988,2.242,1.851,1.848,2.664,4.719,4.213,3.434,2.754,3.336
시립박물관,동삼동패총전시관,Y,N,실내 등유,0,0,0,0,0,0,0,0,0,0,0,0
시립박물관,동삼동패총전시관,Y,N,전력,2.869,2.733,2.11,1.745,1.105,0.86,0.752,1.563,1.248,0.629,0.901,2.006
